PACKAGE,VERSION/Commit Hash,SOURCE SITE
libmpdec2,2.4.2-1,
libmsgpackc2,1.4.2-4,
libncurses5,6.0+20161126-1+deb9u2,
libncursesw5,6.0+20161126-1+deb9u2,
libnet1,1.1.6+dfsg-3,
libnetfilter-conntrack3,1.0.6-2,
libnettle6,3.3-1+b2,
libnfnetlink0,1.0.1-3,
libnfsidmap2,0.25-5.1,
libnghttp2-14,1.18.1-1+deb9u1,
libnl-3-200,3.4.0-1~bpo9+1,
libnl-route-3-200,3.4.0-1~bpo9+1,
libnpth0,1.3-1,
libnss-mdns,0.10-8,
libonig4,6.1.3-2+deb9u1,
libopts25,1:5.18.12-3,
libp11-kit0,0.23.3-2,
libpam-modules,1.1.8-3.6,
libpam-modules-bin,1.1.8-3.6,
libpam-runtime,1.1.8-3.6,
libpam0g,1.1.8-3.6,
libparted2,3.2-17,
libpcap0.8,1.8.1-3,
libpci3,1:3.5.2-1,
libpcre3,2:8.39-3,
libperl5.24,5.24.1-3+deb9u7,
libpopt0,1.16-10+b2,
libpq5,9.6.20-0+deb9u1,
libprocps6,2:3.3.12-3+deb9u1,
libprotobuf-c1,1.2.1-2,
libpsl5,0.17.0-3,
libpython-stdlib,2.7.13-2,
libpython2.7,2.7.13-2+deb9u4,
libpython2.7-minimal,2.7.13-2+deb9u4,
libpython2.7-stdlib,2.7.13-2+deb9u4,
libpython3-stdlib,3.5.3-1,
libpython3.5,3.5.3-1+deb9u3,
libpython3.5-minimal,3.5.3-1+deb9u3,
libpython3.5-stdlib,3.5.3-1+deb9u3,
libreadline7,7.0-3,
librtmp1,2.4+20151223.gitfa8646d.1-1+b1,
libsasl2-2,2.1.27~101-g0780600+dfsg-3+deb9u1,
libsasl2-modules-db,2.1.27~101-g0780600+dfsg-3+deb9u1,
libseccomp2,2.3.1-2.1+deb9u1,
libselinux1,2.6-3+b3,
libsemanage-common,2.6-2,
libsemanage1,2.6-2,
libsensors4,1:3.4.0-4,
libsepol1,2.6-2,
libsmartcols1,2.29.2-1+deb9u1,
libsodium18,1.0.11-2,
libsodium23,1.0.17-1~bpo9+1,
libsodiumpp,e0bb373542fb248c368f4795388d6c12749db1db,https://github.com/rubendv/sodiumpp
libsqlite3-0,3.27.2-3~bpo9+1,
libss2,1.44.5-1~bpo9+1,
libssh2-1,1.7.0-1+deb9u1,
libssl1.0.2,1.0.2u-1~deb9u3,
libssl1.1,1.1.0l-1~deb9u2,
libstdc++6,6.3.0-18+deb9u1,
libsystemd0,241-5~bpo9+1,
libtalloc2,2.1.9-2~bpo9+1,
libtasn1-6,4.10-1.1+deb9u1,
libtdb1,1.3.11-2,
libtevent0,0.9.31-1,
libtinfo5,6.0+20161126-1+deb9u2,
libtirpc1,0.2.5-1.2+deb9u1,
libubnt,1.0.0-2619+g30aac086,
libudev1,241-5~bpo9+1,
libunistring0,0.9.6+really0.9.3-0.1,
libusb-1.0-0,2:1.0.21-1,
libustr-1.0-1,1.0.4-6,
libuuid1,2.29.2-1+deb9u1,
libwbclient0,2:4.5.16+dfsg-1+deb9u3,
libwrap0,7.6.q-26,
libxml2,2.9.4+dfsg1-2.2+deb9u3,
libxslt1.1,1.1.29-2.1+deb9u2,
libxtables12,1.6.2-1.1~bpo9+1,
libyaml-0-2,0.2.1-1~bpo9+1,
linux-base,4.5,
lm-sensors,1:3.4.0-4,
locales,2.24-11+deb9u4,
login,1:4.4-4.1,
logrotate,3.11.0-0.1,
lsb-base,9.20161125,
lsb-release,9.20161125,
lsof,4.89+dfsg-0.1,
make,4.1-9.1,
mawk,1.3.3-17+b3,
mdadm,3.4-4+b1,
mime-support,3.6,
mount,2.29.2-1+deb9u1,
mtd-utils,1:2.0.0-1,
multiarch-support,2.24-11+deb9u4,
ncurses-base,6.0+20161126-1+deb9u2,
ncurses-bin,6.0+20161126-1+deb9u2,
net-tools,1.60+git20161116.90da8a0-1,
netbase,5.4,
netcat-traditional,1.10-41+b1,
nfs-common,1:1.3.4-2.1+deb9u1,
nfs-kernel-server,1:1.3.4-2.1+deb9u1,
node12,12.18.1,
